storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
"DELTA FARM STORE, INC.",CarQuest,1001376,1041 DESOTO AVE,CLARKSDALE,MS,38614,USA,6626219886,"34.19074,-90.56237","34.19074,-90.56237"
CITY AUTO PARTS,CarQuest,1000862,4500 EAST HWY 76,MULLINS,SC,29574,USA,8434646252,"34.1968448390967,-79.273686864118","34.1968448390967,-79.273686864118"
YARBOROUGH AUTO PARTS,CarQuest,1002165,810 E PALMETTO ST,FLORENCE,SC,29506-2857,USA,8436656033,"34.1995900000536,-79.6035350000137","34.1995900000536,-79.6035350000137"
CARQUEST,CarQuest,1000732,1624 CALHOUN ROAD,GREENWOOD,SC,29649,USA,8643965368,"34.205475,-82.200916","34.205475,-82.200916"
"BISHOPVILLE PARTS, INC.",CarQuest,1000590,P.O. BOX 228,BISHOPVILLE,SC,29010,USA,8034845408,"34.2185287475586,-80.2480621337891","34.2185287475586,-80.2480621337891"
"HEALDTON TRUCK SUPPLY, INC.",CarQuest,1001530,10950 HIGHWAY 76,HEALDTON,OK,73438,USA,5802291594,"34.2333,-97.48428","34.2333,-97.48428"
MOHAWK AUTO PARTS,CarQuest,1001780,1701 W AMERICAN BLVD,MULESHOE,TX,79347,USA,8062724425,"34.235703,-102.742433","34.235703,-102.742433"
PAYSON CARQUEST,CarQuest,1001858,805 SOUTH BEELINE HIGHWAY,PAYSON,AZ,85541,USA,9284745224,"34.2363950000004,-111.323140000022","34.2363950000004,-111.323140000022"
MOUNTAIN AUTO PARTS,CarQuest,1001795,PO BOX 4979,CRESTLINE,CA,92325,USA,9093383612,"34.2429962158203,-117.281600952148","34.2429962158203,-117.281600952148"
CARQUEST,CarQuest,1001293,5832 MARKET STREET,WILMINGTON,NC,28405,USA,9107917788,"34.2483900000686,-77.8625800000772","34.2483900000686,-77.8625800000772"
CARQUEST,CarQuest,1000703,PO BOX 219,BIG BEAR CITY,CA,92314-0219,USA,9095842442,"34.2611198425293,-116.845596313477","34.2611198425293,-116.845596313477"
APC ROME,CarQuest,1000511,309 NORTH 5TH AVENUE,ROME,GA,30165,USA,7062910588,"34.2611750000101,-85.1765099998603","34.2611750000101,-85.1765099998603"
COMPLETE AUTO PARTS,CarQuest,1000882,407 ATLANTA HWY,GAINESVILLE,GA,30501,USA,7705343631,"34.2716812143808,-83.8391894286055","34.2716812143808,-83.8391894286055"
SUNRISE AUTO SUPPLY,CarQuest,1002055,1310 COLLEGE STREET,NEWBERRY,SC,29108,USA,8032760820,"34.2743900001174,-81.6187099993934","34.2743900001174,-81.6187099993934"
CARQUEST,CarQuest,1001270,1350   EAST THOMPSON BLVD,VENTURA,CA,93001,USA,8056432247,"34.27597,-119.28017","34.27597,-119.28017"
SATICOY AUTO PARTS,CarQuest,1001987,11015 NARDO STREET,SATICOY,CA,93004,USA,8056473227,"34.2834510803223,-119.149673461914","34.2834510803223,-119.149673461914"
