id,make,makefaceted,model,modelfaceted,product,productfaceted,year,yearfaceted,originalequipmentpart,originalequipmentpartfaceted,partnumber,partnumberfaceted,engineliters,enginecc,enginecylinder,engineblock,engineboreinch,engineboremetric,enginestrokeinch,engstrokemetric,engine,enginefaceted,imageprefix,numberofimages,imagesuffix
10000018,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000019,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000020,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000021,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000022,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000023,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000024,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000025,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000026,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000027,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
